Date,Open,High,Low,Close,Adj Close,Volume
2018-01-15,43.500000,43.720001,43.270000,43.470001,28.497747,7253400
2018-01-16,42.980000,43.139999,42.299999,42.299999,27.730721,20121900
2018-01-17,42.400002,43.220001,42.360001,43.150002,28.287960,16490700
2018-01-18,43.500000,43.610001,42.680000,42.860001,28.097843,10772100
2018-01-19,43.200001,43.400002,42.599998,42.880001,28.110952,11173100
2018-01-22,43.099998,43.160000,42.220001,42.650002,27.960175,11580900
2018-01-23,41.990002,42.110001,40.810001,40.930000,26.832586,22075600
2018-01-24,41.209999,42.130001,41.139999,41.779999,27.389826,22096600
2018-01-25,41.779999,41.779999,41.779999,41.779999,27.389826,0
2018-01-26,41.849998,41.880001,40.709999,41.430000,27.160378,19259500
2018-01-29,41.099998,42.240002,41.040001,41.889999,27.461939,16752900
2018-01-30,41.700001,41.959999,41.230000,41.470001,27.186594,13180300
2018-01-31,41.750000,42.680000,41.450001,41.450001,27.173485,22859700
2018-02-01,41.599998,42.470001,41.570000,41.790001,27.396385,21949700
2018-02-02,41.650002,41.650002,40.750000,40.799999,26.747364,17892300
2018-02-05,40.599998,42.040001,40.330002,40.349998,26.452358,22452800
2018-02-06,40.009998,42.470001,39.930000,42.470001,27.842171,26037000
2018-02-07,42.430000,42.720001,41.700001,41.709999,27.343937,20560700
2018-02-08,41.689999,42.130001,41.070000,41.590000,27.265263,18928800
2018-02-09,41.400002,42.400002,41.029999,42.000000,27.534050,22760500
2018-02-14,43.400002,44.549999,43.259998,44.509998,29.179537,25905800
2018-02-15,45.009998,45.959999,44.950001,45.950001,30.123566,31043100
2018-02-16,45.820000,46.189999,45.470001,46.029999,30.176006,21107300
2018-02-19,46.099998,46.799999,45.959999,46.450001,30.451355,12756100
2018-02-20,46.049999,46.450001,45.240002,45.509998,29.835110,18417600
2018-02-21,45.509998,45.959999,44.709999,44.799999,29.369656,24312600
2018-02-22,45.230000,45.680000,45.119999,45.669998,29.940004,14081800
2018-02-23,46.000000,46.410000,45.650002,46.080002,30.208790,17489800
2018-02-26,46.740002,47.400002,46.689999,47.400002,31.074142,20374600
2018-02-27,47.470001,47.599998,46.709999,47.330002,31.028250,15063400
2018-02-28,46.990002,47.090000,44.650002,45.049999,29.533548,39459100
2018-03-01,45.209999,45.630001,43.970001,44.450001,29.140200,25776000
2018-03-02,43.799999,43.880001,42.740002,43.750000,28.681301,25236200
2018-03-05,43.480000,43.939999,42.880001,43.700001,28.648527,16100600
2018-03-06,44.500000,44.919998,43.419998,43.490002,28.510859,22342000
2018-03-07,42.509998,43.020000,42.200001,42.849998,28.410412,19334700
2018-03-08,42.680000,42.790001,41.250000,41.459999,27.488819,19983100
2018-03-09,40.970001,42.270000,40.509998,42.099998,27.913147,21077800
2018-03-12,42.290001,42.630001,41.939999,42.459999,28.151836,11838200
2018-03-13,42.740002,42.799999,42.049999,42.130001,27.933041,13838900
2018-03-14,42.849998,43.340000,42.570000,42.599998,28.244659,17936000
2018-03-15,42.700001,42.820000,42.130001,42.400002,28.112053,16039100
2018-03-16,42.400002,42.599998,42.049999,42.299999,28.045753,26802000
2018-03-19,41.520000,41.520000,40.669998,41.099998,27.250126,21861500
2018-03-20,41.099998,41.919998,40.930000,41.599998,27.581638,9322500
2018-03-21,41.750000,42.689999,41.430000,42.500000,28.178356,19798000
2018-03-22,41.939999,42.250000,41.619999,41.930000,27.800438,15229500
2018-03-23,41.240002,42.200001,41.009998,41.599998,27.581638,14983200
2018-03-26,42.000000,42.380001,41.610001,42.000000,27.846848,9850900
2018-03-27,42.389999,42.389999,40.720001,40.860001,27.091003,11659800
2018-03-28,40.610001,41.700001,40.060001,41.540001,27.541861,19038400
2018-03-29,41.869999,42.750000,41.740002,42.209999,27.986084,20347700
2018-04-02,42.320000,43.470001,42.320000,43.000000,28.509867,18944000
2018-04-03,43.400002,43.549999,42.439999,42.869999,28.423674,13693900
2018-04-04,41.799999,42.599998,41.590000,42.549999,28.211506,12440000
2018-04-05,43.310001,43.689999,43.029999,43.250000,28.675621,14686600
2018-04-06,42.910000,43.099998,42.250000,42.740002,28.337482,11282700
2018-04-09,43.070000,43.230000,42.209999,42.950001,28.476715,11918100
2018-04-10,43.799999,44.840000,43.669998,44.840000,29.729826,22479700
2018-04-11,44.560001,45.060001,44.220001,44.639999,29.597216,17709600
2018-04-12,44.419998,44.860001,44.320000,44.810001,29.709938,9812400
2018-04-13,44.849998,45.169998,44.599998,44.980000,29.822643,15483300
2018-04-16,44.610001,44.849998,44.310001,44.540001,29.530920,11434200
2018-04-17,44.599998,46.000000,44.560001,45.930000,30.452515,13348000
2018-04-18,47.000000,48.080002,46.849998,47.480000,31.480196,27655600
2018-04-19,47.779999,48.169998,47.400002,47.830002,31.712255,16092700
2018-04-20,47.759998,47.900002,47.330002,47.630001,31.579655,10188600
2018-04-23,47.220001,47.980000,47.060001,47.500000,31.493460,11785300
2018-04-24,47.700001,48.590000,47.700001,48.310001,32.030506,15113400
2018-04-25,47.750000,48.490002,47.439999,47.950001,31.791813,15525500
2018-04-26,47.700001,49.000000,47.619999,48.700001,32.289089,13273500
2018-04-27,48.900002,49.150002,47.860001,48.349998,32.057022,14624200
2018-04-30,48.259998,48.830002,48.150002,48.669998,32.269192,8464400
2018-05-02,48.500000,49.320000,48.419998,48.709999,32.295708,16526500
2018-05-03,48.810001,49.330002,48.580002,49.090000,32.547661,14025900
2018-05-04,48.919998,49.900002,48.919998,49.700001,32.952099,14861100
2018-05-07,49.720001,50.040001,49.110001,49.240002,32.647110,15433900
2018-05-08,49.250000,49.680000,48.910000,49.189999,32.613960,22420400
2018-05-09,49.419998,50.419998,49.330002,50.250000,33.316761,16776100
2018-05-10,50.410000,51.400002,50.380001,51.400002,34.079239,14314200
2018-05-11,51.770000,53.580002,51.750000,52.630001,34.894756,21432500
2018-05-14,53.080002,54.400002,53.000000,54.270000,35.982109,15847800
2018-05-15,53.810001,54.650002,53.180000,54.650002,36.234055,15954500
2018-05-16,55.330002,56.000000,55.139999,55.900002,37.062832,20944200
2018-05-17,55.299999,55.799999,54.750000,55.380001,36.718056,20241200
2018-05-18,54.700001,55.500000,53.450001,54.770000,36.313618,22361100
2018-05-21,55.009998,55.099998,53.000000,53.000000,35.140072,22608800
2018-05-22,52.869999,53.060001,51.869999,52.340000,34.702477,20491700
2018-05-23,51.799999,52.240002,51.250000,51.939999,34.437267,15703000
2018-05-24,51.320000,53.000000,51.259998,52.459999,34.782036,14500200
2018-05-25,52.580002,52.790001,51.049999,51.480000,34.132271,13141500
2018-05-28,50.900002,52.459999,50.709999,51.070000,33.860439,13832600
2018-05-29,51.970001,52.060001,49.990002,50.160000,33.257092,18697800
2018-05-30,50.209999,51.349998,49.700001,50.630001,33.568714,25861400
2018-06-01,50.900002,53.080002,50.650002,52.759998,34.980946,20424100
2018-06-04,53.180000,53.450001,51.759998,52.520000,34.821815,13964100
2018-06-05,52.500000,54.000000,52.500000,53.730000,35.624073,16988600
2018-06-06,54.500000,56.230000,54.490002,56.070000,37.175541,26835500
2018-06-07,56.459999,56.750000,53.070000,54.369999,36.048405,32389900
2018-06-08,53.990002,53.990002,50.660000,50.889999,33.741100,30421100
2018-06-11,51.369999,52.000000,50.590000,50.849998,33.714573,14362000
2018-06-12,50.500000,52.360001,50.160000,51.700001,34.278141,18403200
2018-06-13,51.980000,52.240002,50.730000,51.549999,34.178688,15599000
2018-06-14,51.869999,51.889999,50.750000,51.709999,34.284767,18827200
2018-06-15,51.400002,51.439999,48.700001,49.130001,32.574184,36611400
2018-06-18,48.619999,49.290001,47.860001,49.209999,32.627220,20490400
2018-06-19,47.700001,48.750000,47.029999,48.299999,32.023872,26764800
2018-06-20,49.049999,49.080002,48.070000,48.810001,32.362019,14448400
2018-06-21,48.509998,49.200001,47.040001,47.209999,31.301178,13952800
2018-06-22,48.150002,48.470001,47.480000,48.009998,31.831602,9632500
2018-06-25,47.700001,47.799999,46.259998,47.160000,31.268034,13800400
2018-06-26,47.500000,48.340000,46.630001,48.340000,32.050400,15460100
2018-06-27,48.480000,49.279999,47.900002,48.150002,31.924423,14471100
2018-06-28,47.849998,49.439999,47.500000,49.070000,32.534397,16298400
2018-06-29,49.700001,50.099998,49.049999,49.590000,32.879169,12248000
2018-07-02,48.889999,49.189999,48.520000,48.759998,32.328861,8222800
2018-07-03,49.299999,49.490002,47.959999,47.959999,31.798447,11486600
2018-07-04,48.169998,48.369999,47.599998,48.029999,31.844854,6147000
2018-07-05,48.549999,49.770000,48.310001,49.700001,32.952099,12179600
2018-07-06,49.790001,50.439999,49.389999,50.340000,33.376438,8582200
2018-07-10,50.700001,51.099998,49.349998,49.529999,32.839390,10935700
2018-07-11,48.500000,49.099998,48.450001,48.860001,32.395164,12912600
2018-07-12,49.349998,50.669998,48.959999,50.450001,33.449368,20765500
2018-07-13,50.599998,50.889999,49.930000,50.310001,33.356544,15555400
2018-07-16,50.310001,50.599998,49.599998,50.000000,33.151009,12550000
2018-07-17,50.130001,51.020000,49.700001,50.700001,33.615124,11553600
2018-07-18,51.150002,51.669998,50.820000,51.450001,34.112385,9762900
2018-07-19,50.709999,50.750000,49.060001,49.430000,32.773094,20977000
2018-07-20,49.590000,49.860001,48.630001,48.720001,32.302345,16788900
2018-07-23,49.080002,50.130001,48.529999,49.599998,32.885803,8554600
2018-07-24,51.919998,52.389999,51.310001,51.310001,34.019569,20910300
2018-07-25,51.459999,51.750000,50.740002,51.750000,34.311298,15263700
2018-07-26,52.470001,53.180000,52.400002,52.779999,34.994202,54299500
2018-07-27,53.480000,53.669998,53.250000,53.450001,35.438435,21543400
2018-07-30,53.700001,54.349998,53.560001,54.330002,36.021881,15527200
2018-07-31,54.200001,54.980000,54.049999,54.840000,36.360027,15921000
2018-08-01,53.400002,53.770000,53.020000,53.060001,35.179852,36906000
2018-08-02,52.090000,53.090000,51.500000,52.840000,35.033985,19796400
2018-08-03,52.310001,52.939999,51.330002,52.549999,35.845963,15607700
2018-08-06,52.099998,52.910000,52.000000,52.400002,35.743649,11904900
2018-08-07,53.389999,53.650002,52.630001,52.750000,35.982395,19065600
2018-08-08,53.299999,53.330002,52.259998,52.400002,35.743649,13076000
2018-08-09,52.500000,53.040001,51.730000,51.840000,35.361652,12752800
2018-08-10,51.410000,51.910000,50.720001,51.709999,35.272976,14630800
2018-08-13,52.070000,52.689999,51.740002,52.279999,35.661793,14720600
2018-08-14,52.099998,52.910000,51.770000,52.759998,35.989216,17475600
2018-08-15,51.599998,51.980000,50.349998,50.410000,34.386208,26625700
2018-08-16,50.900002,51.029999,49.630001,49.720001,33.915535,20125600
2018-08-17,49.529999,51.189999,49.230000,50.799999,34.652233,17343200
2018-08-20,51.099998,51.770000,51.040001,51.439999,35.088802,14783600
2018-08-21,51.160000,52.099998,51.020000,51.730000,35.286625,13378300
2018-08-22,51.650002,53.299999,51.630001,53.299999,36.357567,13073500
2018-08-23,53.099998,53.520000,52.650002,53.349998,36.391670,12263000
2018-08-24,53.599998,54.459999,53.549999,54.150002,36.937374,10971100
2018-08-27,54.169998,55.669998,54.169998,55.669998,37.974216,11205300
2018-08-28,55.930000,56.410000,55.070000,55.650002,37.960567,17875600
2018-08-29,55.250000,56.160000,55.139999,55.220001,37.667255,10292800
2018-08-30,55.299999,55.889999,54.400002,54.570000,37.223873,14432500
2018-08-31,54.520000,54.799999,53.310001,53.619999,36.575848,15000000
2018-09-03,53.299999,54.169998,53.209999,54.049999,36.869160,4356600
2018-09-04,53.599998,53.790001,52.000000,52.000000,35.470795,10521800
2018-09-05,52.080002,52.639999,51.750000,52.150002,35.573116,7100000
2018-09-06,52.790001,53.869999,52.400002,53.480000,36.480350,12479400
2018-09-10,53.910000,54.040001,52.959999,53.220001,36.302998,9341300
2018-09-11,52.610001,52.990002,52.130001,52.590000,35.873249,10347800
2018-09-12,53.000000,53.709999,52.180000,53.450001,36.459892,14230800
2018-09-13,53.700001,54.430000,53.520000,53.779999,36.684982,14353500
2018-09-14,54.099998,55.230000,54.049999,55.200001,37.653618,17021500
2018-09-17,55.299999,55.570000,54.790001,55.040001,37.544472,12096900
2018-09-18,55.630001,57.470001,55.509998,57.340000,39.113377,20647900
2018-09-19,57.610001,58.939999,57.529999,58.580002,39.959213,12451900
2018-09-20,59.209999,59.610001,58.430000,59.320000,40.463985,11264600
2018-09-21,59.889999,61.009998,59.599998,61.009998,41.616795,23057600
2018-09-24,60.849998,61.250000,60.150002,60.200001,41.064266,9008600
